Term,Tier_1,Tier_2,Tier_3,Tier_4,Tier_5
0,0.000064,0.000048,0.000024,0.000012,0.000006
1,0.000123,0.000092,0.000046,0.000023,0.000012
2,0.000181,0.000136,0.000068,0.000034,0.000017
3,0.00024,0.00018,0.00009,0.000045,0.000023
4,0.000299,0.000224,0.000112,0.000056,0.000028
5,0.000357,0.000268,0.000134,0.000067,0.000034
6,0.000416,0.000312,0.000156,0.000078,0.000039
7,0.000475,0.000356,0.000178,0.000089,0.000045
8,0.000533,0.0004,0.0002,0.0001,0.00005
9,0.000592,0.000444,0.000222,0.000111,0.000056
10,0.000651,0.000488,0.000244,0.000122,0.000061
11,0.000709,0.000532,0.000266,0.000133,0.000067
12,0.000768,0.000576,0.000288,0.000144,0.000072
13,0.000827,0.00062,0.00031,0.000155,0.000078
14,0.000885,0.000664,0.000332,0.000166,0.000083
15,0.000944,0.000708,0.000354,0.000177,0.000089
16,0.001003,0.000752,0.000376,0.000188,0.000094
17,0.001061,0.000796,0.000398,0.000199,0.0001
18,0.00112,0.00084,0.00042,0.00021,0.000105
19,0.001179,0.000884,0.000442,0.000221,0.000111
20,0.001237,0.000928,0.000464,0.000232,0.000116
21,0.001296,0.000972,0.000486,0.000243,0.000122
22,0.001355,0.001016,0.000508,0.000254,0.000127
23,0.001413,0.00106,0.00053,0.000265,0.000133
24,0.001472,0.001104,0.000552,0.000276,0.000138
25,0.001531,0.001148,0.000574,0.000287,0.000144
26,0.001589,0.001192,0.000596,0.000298,0.000149
27,0.001648,0.001236,0.000618,0.000309,0.000155
28,0.001707,0.00128,0.00064,0.00032,0.00016
29,0.001765,0.001324,0.000662,0.000331,0.000166
30,0.001824,0.001368,0.000684,0.000342,0.000171
31,0.001883,0.001412,0.000706,0.000353,0.000177
32,0.001941,0.001456,0.000728,0.000364,0.000182
33,0.002,0.0015,0.00075,0.000375,0.000188
34,0.002059,0.001544,0.000772,0.000386,0.000193
35,0.002117,0.001588,0.000794,0.000397,0.000199
36,0.002176,0.001632,0.000816,0.000408,0.000204
37,0.002235,0.001676,0.000838,0.000419,0.00021
38,0.002293,0.00172,0.00086,0.00043,0.000215
39,0.002352,0.001764,0.000882,0.000441,0.000221
40,0.002411,0.001808,0.000904,0.000452,0.000226
41,0.002469,0.001852,0.000926,0.000463,0.000232
42,0.002528,0.001896,0.000948,0.000474,0.000237
43,0.002587,0.00194,0.00097,0.000485,0.000243
44,0.002645,0.001984,0.000992,0.000496,0.000248
45,0.002704,0.002028,0.001014,0.000507,0.000254
